"CourseMajor";"CourseID";"ID";"CourseName";"CreditHour";"LectureHour";"LabHour";"Attribute";"GradeMode";"Prerequisite";"Corequisite"
"GER";"GER 1420";"1420";"Beginning German II";4;3;1;"022 047";"1";"GER 1410";""
"GER";"GER 2310";"2310";"Intermediate German I";3;3;0;"022";"1";"GER 1420";""
"GER";"GER 2320";"2320";"Intermediate German II";3;3;0;"022";"1";"GER 2310";""
"GER";"GER 3304A";"3304A";"German Cinema";3;3;0;"022 044 045";"1";"";""
"GER";"GER 3304B";"3304B";"German Colonialism, Orientalism, and Exoticism in Film and Literature";3;3;0;"022 044 045";"1";"";""
"GER";"GER 3304C";"3304C";"The Many Faces of Weimar Cinema: German Expressionist Films";3;3;0;"022 045";"1";"";""
"GER";"GER 3304D";"3304D";"German Translation";3;3;0;"022 045";"1";"";""
"GER";"GER 3305";"3305";"German on the Stage";3;3;0;"022 045";"1";"GER 3310";""
"GER";"GER 3310";"3310";"German Phonetics";3;3;0;"022 045";"1";"";""
"GER";"GER 3320";"3320";"Improving German Communication Skills";3;3;0;"022 045";"1";"GER 2320";""
"GER";"GER 3341";"3341";"Review of German Grammar";3;3;0;"";"1";"";""
"GER";"GER 3370";"3370";"The Contemporary German-Speaking World";3;3;0;"022 044";"1";"";""
"GER";"GER 3380";"3380";"Business German in Global Economy";3;3;0;"022";"1";"";""
"GER";"GER 4300";"4300";"Professional Internship in German";3;1;6;"";"1";"GER 2320";""
"GER";"GER 4310";"4310";"Masterpieces of German Literature";3;3;0;"022 044 045";"1";"Department Approval";""
"GER";"GER 4340";"4340";"Advanced Conversation, Composition, and Stylistics";3;3;0;"022 044 045";"1";"";""
"GER";"GER 4380";"4380";"German Civilization";3;3;0;"";"1";"GER 2320";""
"GER";"GER 4390";"4390";"Studies in German Culture, Language, or Literature";3;3;0;"022 045";"1";"Department Approval";""
"HA";"HA 3308";"3308";"Healthcare Organization";3;3;0;"009";"1";"";""
"HA";"HA 3309";"3309";"Ethics in the Health Professions";3;3;0;"009 044";"1";"";""
"HA";"HA 3311";"3311";"Independent Study in Healthcare Administration";3;3;0;"009 045";"1";"";""
"HA";"HA 3324";"3324";"Supervisory Management for Healthcare Managers";3;3;0;"009 044";"1";"";""
"HA";"HA 3329";"3329";"Human Resources in Healthcare Management";3;3;0;"009";"1";"";""
"HA";"HA 3340";"3340";"Management of Health Information Systems";3;3;0;"009";"1";"";""
